文物采样点,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),总和,类型,是否风化,颜色,纹饰
01,69.33,,9.99,6.32,0.87,3.93,1.74,3.87,,,1.17,,,0.39,97.61,高钾,无风化,蓝绿,C
02,36.28,,1.05,2.34,1.18,5.73,1.86,0.26,47.43,,3.57,0.19,,,99.89,铅钡,风化,浅蓝,A
03部位1,87.05,,5.19,2.01,,4.06,,0.78,0.25,,0.66,,,,100,高钾,无风化,蓝绿,A
03部位2,61.71,,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,,,98.88,高钾,无风化,蓝色,A
04,65.88,,9.67,7.12,1.56,6.44,2.06,2.18,,,0.79,,,0.36,96.06,高钾,无风化,蓝绿,A
05,61.58,,10.95,7.35,1.77,7.5,2.62,3.27,,,0.94,0.06,,0.47,96.51,高钾,无风化,蓝绿,A
06部位1,67.65,,7.37,,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,,,98.92,高钾,无风化,蓝绿,A
06部位2,59.81,,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,,,98.84,高钾,无风化,蓝绿,A
07,92.63,,,1.07,,1.98,0.17,3.24,,,0.61,,,,99.7,高钾,风化,蓝绿,B
08,20.14,,,1.48,,1.34,,10.41,28.68,31.23,3.59,0.37,,2.58,99.82,铅钡,风化,紫,C
08严重风化点,4.61,,,3.19,,1.11,,3.14,32.45,30.62,7.56,0.53,,15.03,98.24,铅钡,风化,紫,C
09,95.02,,0.59,0.62,,1.32,0.32,1.55,,,0.35,,,,99.77,高钾,风化,蓝绿,B
10,96.77,,0.92,0.21,,0.81,0.26,0.84,,,,,,,99.81,高钾,风化,蓝绿,B
11,33.59,,0.21,3.51,0.71,2.69,,4.93,25.39,14.61,9.38,0.37,,,95.39,铅钡,风化,浅蓝,C
12,94.29,,1.01,0.72,,1.46,0.29,1.65,,,0.15,,,,99.57,高钾,风化,蓝绿,B
13,59.01,2.86,12.53,8.7,,6.16,2.88,4.73,,,1.27,,,,98.14,高钾,无风化,浅蓝,C
14,62.47,3.38,12.28,8.23,0.66,9.23,0.5,0.47,1.62,,0.16,,,,99,高钾,无风化,深绿,C
16,65.18,2.1,14.52,8.27,0.52,6.18,0.42,1.07,0.11,0,,0.04,,,98.41,高钾,无风化,浅蓝,C
18,79.46,,9.42,,1.53,3.05,,,,,1.36,0.07,2.36,,97.25,高钾,无风化,深蓝,A
19,29.64,,,2.93,0.59,3.57,1.33,3.51,42.82,5.35,8.83,0.19,,,98.76,铅钡,风化,,A
20,37.36,,0.71,,,5.45,1.51,4.78,9.3,23.55,5.75,,,,88.41,铅钡,无风化,浅蓝,A
21,76.68,,,4.71,1.22,6.19,2.37,3.28,1,1.97,1.1,,,,98.52,高钾,无风化,蓝绿,A
22,92.35,,0.74,1.66,0.64,3.5,0.35,0.55,,,0.21,,,,100,高钾,风化,蓝绿,B
23未风化点,53.79,7.92,,0.5,0.71,1.42,,2.99,16.98,11.86,,0.33,,,96.5,铅钡,无风化,蓝绿,A
24,31.94,,,0.47,,1.59,,8.46,29.14,26.23,0.14,0.91,,,98.88,铅钡,无风化,紫,C
25未风化点,50.61,2.31,,0.63,,1.9,1.55,1.12,31.9,6.65,0.19,0.2,,,97.06,铅钡,无风化,浅蓝,C
26,19.79,,,1.44,,0.7,,10.57,29.53,32.25,3.13,0.45,,1.96,99.82,铅钡,风化,紫,C
26严重风化点,3.72,,0.4,3.01,,1.18,,3.6,29.92,35.45,6.04,0.62,,15.95,99.89,铅钡,风化,紫,C
27,92.72,,,0.94,0.54,2.51,0.2,1.54,,,0.36,,,,98.81,高钾,风化,蓝绿,B
28未风化点,68.08,,0.26,1.34,1,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,,98.69,铅钡,无风化,浅蓝,A
29未风化点,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,,,99.88,铅钡,无风化,浅蓝,A
30部位1,34.34,,1.41,4.49,0.98,4.35,2.12,,39.22,10.29,,0.35,0.4,,97.95,铅钡,无风化,深蓝,A
30部位2,36.93,,,4.24,0.51,3.86,2.74,,37.74,10.35,1.41,0.48,0.44,,98.7,铅钡,无风化,深蓝,A
31,65.91,,,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,,,98.43,铅钡,无风化,紫,C
32,69.71,,0.21,0.46,,2.36,1,0.11,19.76,4.88,0.17,,,,98.66,铅钡,无风化,浅绿,C
33,75.51,,0.15,0.64,1,2.35,,0.47,16.16,3.55,0.13,,,,99.96,铅钡,无风化,深绿,C
34,35.78,,0.25,0.78,,1.62,0.47,1.51,46.55,10,0.34,0.22,,,97.52,铅钡,风化,深绿,C
35,65.91,,,0.38,,1.44,0.17,0.16,22.05,5.68,0.42,,,,96.21,铅钡,无风化,浅绿,C
36,39.57,2.22,0.14,0.37,,1.6,0.32,0.68,41.61,10.83,0.07,0.22,,,97.63,铅钡,风化,深绿,C
37,60.12,,0.23,0.89,,2.72,,3.01,17.24,10.34,1.46,0.31,,3.66,99.98,铅钡,无风化,深绿,C
38,32.93,1.38,,0.68,,2.57,0.29,0.73,49.31,9.79,0.48,0.41,,,98.57,铅钡,风化,深绿,C
39,26.25,,,1.11,,0.5,,0.88,61.03,7.22,1.16,0.61,,,98.76,铅钡,风化,深绿,C
40,16.71,,,1.87,,0.45,0.19,,70.21,6.69,1.77,0.68,,,98.57,铅钡,风化,,C
41,18.46,,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,,,93.71,铅钡,风化,浅绿,C
42未风化点1,51.26,5.74,0.15,0.79,1.09,3.53,,2.67,21.88,10.47,0.08,0.35,,,98.01,铅钡,无风化,浅蓝,A
42未风化点2,51.33,5.68,0.35,,1.16,5.66,,2.72,20.12,10.88,,,,,97.9,铅钡,无风化,浅蓝,A
43部位1,12.41,,,5.24,0.89,2.25,0.76,5.35,59.85,7.29,,0.64,,,94.68,铅钡,风化,浅蓝,C
43部位2,21.7,,,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,,,96.67,铅钡,风化,浅蓝,C
